Price,price,ma_fast,ma_slow,signal,position,returns,strategy_returns,equity
Ticker,AAPL,,,,,,,
Date,,,,,,,,
2020-06-11,81.45800018310547,78.3499137878418,72.22184577941894,1,1.0,-0.04801042146386436,-0.04801042146386436,11463.899848230492
2020-06-12,82.16126251220703,78.70470123291015,72.6997794342041,1,1.0,0.008633434745767499,0.008633434745767499,11562.872679502203
2020-06-15,83.17736053466797,79.13248291015626,73.1785903930664,1,1.0,0.012367117926285198,0.012367117926285198,11705.872089496228
2020-06-16,85.38176727294922,79.5825756072998,73.71851593017578,1,1.0,0.026502484860197795,0.026502484860197795,12016.106787323513
2020-06-17,85.26292419433594,80.04879493713379,74.15419692993164,1,1.0,-0.0013919023043100776,-0.0013919023043100776,11999.3815405974
2020-06-18,85.296875,80.44286842346192,74.60526123046876,1,1.0,0.0003981895529019397,0.0003981895529019397,12004.15956896815
2020-06-19,84.8094253540039,80.84142761230468,75.01445831298828,1,1.0,-0.005714742140272899,-0.005714742140272899,11935.558892420808
2020-06-22,87.02838134765625,81.32619895935059,75.45874755859376,1,1.0,0.026164025807157376,0.026164025807157376,12247.841163304953
2020-06-23,88.88597106933594,81.93003921508789,75.91474563598632,1,1.0,0.02134464289596627,0.02134464289596627,12509.266959182212
2020-06-24,87.31694030761719,82.43869476318359,76.27261215209961,1,1.0,-0.017652175510293078,-0.017652175510293078,12288.451183313618
2020-06-25,88.47613525390625,83.00361289978028,76.66633560180664,1,1.0,0.013275716512800573,0.013275716512800573,12451.58917760468
2020-06-26,85.75764465332031,83.43636550903321,76.9947573852539,1,1.0,-0.030725693349788474,-0.030725693349788474,12069.005466816052
2020-06-29,87.73406982421875,83.92052993774413,77.38152374267578,1,1.0,0.02304663542111296,0.02304663542111296,12347.155435705181
2020-06-30,88.4664306640625,84.42324600219726,77.81133087158203,1,1.0,0.0083475078873132,0.0083475078873132,12450.223413090613
2020-07-01,88.29911041259766,84.89601287841796,78.27919631958008,1,1.0,-0.0018913417237349517,-0.0018913417237349517,12426.675786079613
2020-07-02,88.29911041259766,85.40273017883301,78.70967178344726,1,1.0,0.0,0.0,12426.675786079613
2020-07-06,90.6611328125,85.91623802185059,79.19256317138672,1,1.0,0.026750240051856222,0.026750240051856222,12759.092346403831
2020-07-07,90.37980651855469,86.39191474914551,79.63142227172851,1,1.0,-0.003103052931482053,-0.003103052931482053,12719.500207495272
2020-07-08,92.4847640991211,86.8451587677002,80.1114126586914,1,1.0,0.02329013151996806,0.02329013151996806,13015.739040196097
2020-07-09,92.88247680664062,87.21097946166992,80.62155975341797,1,1.0,0.004300305151811568,0.004300305151811568,13071.710689845288
2020-07-10,93.04496002197266,87.79032745361329,81.09069686889649,1,1.0,0.0017493419740548521,0.0017493419740548521,13094.577582027736
2020-07-13,92.61573028564453,88.31305084228515,81.5218894958496,1,1.0,-0.004613143325836955,-0.004613143325836955,13034.17041885055
2020-07-14,94.14838409423828,88.86160202026367,82.00661407470703,1,1.0,0.016548525869922504,0.016548525869922504,13249.866725219876
2020-07-15,94.79586029052734,89.33230667114258,82.48450439453126,1,1.0,0.006877188626423614,0.006877188626423614,13340.988557964187
2020-07-16,93.6294174194336,89.75063133239746,82.917783203125,1,1.0,-0.01230478701832416,-0.01230478701832416,13176.830535144536
2020-07-17,93.44026184082031,90.15780067443848,83.33242874145508,1,1.0,-0.002020257989707619,-0.002020257989707619,13150.20993797689
2020-07-20,95.40940856933594,90.68779983520508,83.77141464233398,1,1.0,0.021073857133129037,0.021073857133129037,13427.335583480466
2020-07-21,94.09259796142578,91.04101066589355,84.14909423828125,1,1.0,-0.01380168505030821,-0.01380168505030821,13242.015726692473
2020-07-22,94.35692596435547,91.31455841064454,84.50839218139649,1,1.0,0.002809232699027442,0.002809232699027442,13279.215630272935
2020-07-23,90.0621337890625,91.45181808471679,84.79925476074219,1,1.0,-0.0455164486485643,-0.0455164486485643,12674.792893944403
2020-07-24,89.83901977539062,91.51996231079102,85.10389129638672,1,1.0,-0.0024773343056077035,-0.0024773343056077035,12643.393194691762
2020-07-27,91.96823120117188,91.83049163818359,85.44194564819335,1,1.0,0.02370029672078533,0.02370029672078533,12943.045364963515
2020-07-28,90.45742797851562,91.96665954589844,85.75865966796874,1,1.0,-0.01642744677073882,-0.01642744677073882,12730.424176179318
2020-07-29,92.19136047363281,92.15290603637695,86.07488861083985,1,1.0,0.01916849211685534,0.01916849211685534,12974.447211644636
2020-07-30,93.30687713623047,92.40329437255859,86.42225540161132,1,1.0,0.0121000130258051,0.0121000130258051,13131.438191908155
2020-07-31,103.07504272460938,93.14209098815918,86.93544815063477,1,1.0,0.10468859196859759,0.10468859196859759,14506.149966741688
2020-08-03,105.67229461669922,93.89264907836915,87.51212921142579,1,1.0,0.02519767951034524,0.02519767951034524,14871.671284532651
2020-08-04,106.37798309326172,94.69255790710449,88.09302978515625,1,1.0,0.006678084157462516,0.006678084157462516,14970.98555693288
2020-08-05,106.76355743408203,95.40649757385253,88.6921176147461,1,1.0,0.0036245690095690897,0.0036245690095690897,15025.248927225242
2020-08-06,110.48847198486328,96.28679733276367,89.3590104675293,1,1.0,0.03488938211038062,0.03488938211038062,15549.47057835079
2020-08-07,107.97644805908203,97.03337173461914,89.97498397827148,1,1.0,-0.022735620111801302,-0.022735620111801302,15195.943722341775
2020-08-10,109.54585266113281,97.87987785339355,90.62384918212891,1,1.0,0.014534693724987502,0.014534693724987502,15416.81211020816
2020-08-11,106.28797149658203,98.48685722351074,91.18859298706055,1,1.0,-0.029739885951033274,-0.029739885951033274,14958.31787632206
2020-08-12,109.82038116455078,99.23808326721192,91.81675842285156,1,1.0,0.03323433139452048,0.03323433139452048,15455.447569728327
2020-08-13,111.7639389038086,100.14480934143066,92.47516174316407,1,1.0,0.017697605113441206,0.017697605113441206,15728.971977668873
2020-08-14,111.66432189941406,101.05601234436035,93.14515289306641,1,1.0,-0.00089131615592275,-0.00089131615592275,15714.952490829122
2020-08-17,111.37278747558594,101.85418128967285,93.76478912353515,1,1.0,-0.0026108108558680065,-0.0026108108558680065,15673.923722266614
2020-08-18,112.30084228515625,102.76459350585938,94.39348052978515,1,1.0,0.00833286865315963,0.00833286865315963,15804.532469923905
2020-08-19,112.44174194335938,103.66883430480956,94.9739176940918,1,1.0,0.001254662523771266,0.001254662523771266,15824.361824519643
2020-08-20,114.93677520751953,104.91256637573242,95.56133193969727,1,1.0,0.0221895643115968,0.0221895643115968,16175.497518914799
2020-08-21,120.85974884033203,106.46360282897949,96.3493669128418,1,1.0,0.05153245009805185,0.05153245009805185,17009.06053761944
2020-08-24,122.30525970458984,107.98045425415039,97.15224685668946,1,1.0,0.011960233891992189,0.011960233891992189,17212.492879932423
2020-08-25,121.30191040039062,109.52267837524414,97.9147378540039,1,1.0,-0.008203648041160805,-0.008203648041160805,17071.28764643447
2020-08-26,122.95149993896484,111.06068534851075,98.66613250732422,1,1.0,0.013599040057401313,0.013599040057401313,17303.44077096975
2020-08-27,121.48169708251953,112.4694263458252,99.39050796508789,1,1.0,-0.011954330424394533,-0.011954330424394533,17096.58972251464
2020-08-28,121.28488159179688,113.37991828918457,100.11026809692383,1,1.0,-0.0016201246397551383,-0.0016201246397551383,17068.891116249408
2020-08-31,125.39796447753906,114.36620178222657,100.92203887939453,1,1.0,0.03391257699855288,0.03391257699855288,17647.741200509132
2020-09-01,130.39285278320312,115.56694526672364,101.78932830810547,1,1.0,0.03983229174791525,0.03983229174791525,18350.691176699514
2020-09-02,127.69132995605469,116.61333389282227,102.56543548583984,1,1.0,-0.020718335165502588,-0.020718335165502588,17970.495406382026
2020-09-03,117.46824645996094,116.96232261657715,103.16846160888672,1,1.0,-0.08006090546329225,-0.08006090546329225,16531.76127252315
2020-09-04,117.54600524902344,117.44080047607422,103.74985900878906,1,1.0,0.0006619558170470885,0.0006619558170470885,16542.704568063527
2020-09-08,109.6357421875,117.44529495239257,104.22742095947265,1,1.0,-0.06729503945936233,-0.06729503945936233,15429.462611391118
2020-09-09,114.00875091552734,117.83133392333984,104.75291458129882,1,1.0,0.03988670702432584,0.03988670702432584,16044.893066114466
2020-09-10,110.28681945800781,117.85465583801269,105.18932235717773,1,1.0,-0.03264601557013136,-0.03264601557013136,15521.091237256998
2020-09-11,108.83888244628906,117.70840301513672,105.60011779785157,1,1.0,-0.01312883097757711,-0.01312883097757711,15317.317453815498
2020-09-14,112.10404205322266,117.73038902282715,106.07621643066406,1,1.0,0.02999993691174585,0.02999993691174585,15776.836011087145
2020-09-15,112.27896118164062,117.77569770812988,106.50857299804687,1,1.0,0.0015603284700023146,0.0015603284700023146,15801.453057481802
